bioproject_accession,bioproject_title,project_type,sample_accession,organism,experiment_accession,platform,run_accession,spots,bases
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803895,Zaire ebolavirus,SRX824278,ILLUMINA,SRR1735115,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908649,Zaire ebolavirus,SRX994023,ILLUMINA,SRR1972746,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908666,Zaire ebolavirus,SRX994006,ILLUMINA,SRR1972729,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908651,Zaire ebolavirus,SRX994022,ILLUMINA,SRR1972745,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908511,Zaire ebolavirus,SRX994202,ILLUMINA,SRR1972925,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803941,Zaire ebolavirus,SRX994248,ILLUMINA,SRR1972971,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803941,Zaire ebolavirus,SRX824323,ILLUMINA,SRR1735160,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS804011,Zaire ebolavirus,SRX824394,ILLUMINA,SRR1735231,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803993,Zaire ebolavirus,SRX824374,ILLUMINA,SRR1735211,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS804021,Zaire ebolavirus,SRX994118,ILLUMINA,SRR1972841,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS804021,Zaire ebolavirus,SRX824404,ILLUMINA,SRR1735241,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803820,Zaire ebolavirus,SRX994246,ILLUMINA,SRR1972969,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803820,Zaire ebolavirus,SRX824203,ILLUMINA,SRR1735040,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677916,Zaire ebolavirus,SRX674168,ILLUMINA,SRR1553505,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677916,Zaire ebolavirus,SRX674167,ILLUMINA,SRR1553506,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803990,Zaire ebolavirus,SRX824373,ILLUMINA,SRR1735210,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS804008,Zaire ebolavirus,SRX824391,ILLUMINA,SRR1735228,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677931,Zaire ebolavirus,SRX674198,ILLUMINA,SRR1553535,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677931,Zaire ebolavirus,SRX674197,ILLUMINA,SRR1553536,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS804030,Zaire ebolavirus,SRX824412,ILLUMINA,SRR1735249,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908663,Zaire ebolavirus,SRX994008,ILLUMINA,SRR1972731,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908589,Zaire ebolavirus,SRX994078,ILLUMINA,SRR1972801,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908688,Zaire ebolavirus,SRX993984,ILLUMINA,SRR1972707,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803929,Zaire ebolavirus,SRX824312,ILLUMINA,SRR1735149,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908705,Zaire ebolavirus,SRX993967,ILLUMINA,SRR1972690,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677932,Zaire ebolavirus,SRX674200,ILLUMINA,SRR1553537,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677932,Zaire ebolavirus,SRX674199,ILLUMINA,SRR1553538,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908597,Zaire ebolavirus,SRX994071,ILLUMINA,SRR1972794,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS694092,Unidentified virus,SRX691923,ILLUMINA,SRR1564810,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS694119,Unidentified virus,SRX691950,ILLUMINA,SRR1564837,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803809,Zaire ebolavirus,SRX824191,ILLUMINA,SRR1735028,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803868,Zaire ebolavirus,SRX824251,ILLUMINA,SRR1735088,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908571,Zaire ebolavirus,SRX994131,ILLUMINA,SRR1972854,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908598,Zaire ebolavirus,SRX994068,ILLUMINA,SRR1972791,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908657,Zaire ebolavirus,SRX994015,ILLUMINA,SRR1972738,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803860,Zaire ebolavirus,SRX824245,ILLUMINA,SRR1735082,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677878,Zaire ebolavirus,SRX674092,ILLUMINA,SRR1553429,,
